model,ckpt_path,member_id,corruption,param,severity,accuracy
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,40.0,0.39418747441670077
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,2.0,0.6600491199345068
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,5.0,0.6543184609087188
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,10.0,0.6429594760540319
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,20.0,0.5064469914040115
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,clean,none,0.0,0.6804540709812108
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,gaussian,sigma,0.0,0.6804540709812108
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,gaussian,sigma,0.05,0.6811064718162839
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,gaussian,sigma,0.1,0.6811064718162839
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,gaussian,sigma,0.2,0.675365344467641
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,ch_dropout,p,0.0,0.6804540709812108
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,ch_dropout,p,0.1,0.6432672233820459
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,ch_dropout,p,0.3,0.5352296450939458
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,ch_dropout,p,0.5,0.42745302713987476
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_mask,L,0.0,0.6804540709812108
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_mask,L,5.0,0.6796711899791231
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_mask,L,10.0,0.670929018789144
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_mask,L,20.0,0.6257828810020877
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_mask,L,40.0,0.4410229645093946
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_shift,k,0.0,0.6804540709812108
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_shift,k,2.0,0.6768006263048016
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_shift,k,5.0,0.6694937369519833
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_shift,k,10.0,0.6328288100208769
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,time_shift,k,20.0,0.4099686847599165
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,clean,none,0.0,0.720982864532816
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,gaussian,sigma,0.0,0.720982864532816
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,gaussian,sigma,0.05,0.7219527966375687
